Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
BR00117022,G08,URL_OrigDNA,r07c08f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c08f01p01-ch5sk1fk1fl1.tiff
BR00117022,G09,URL_OrigDNA,r07c09f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c09f01p01-ch5sk1fk1fl1.tiff
BR00117022,G10,URL_OrigDNA,r07c10f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c10f01p01-ch5sk1fk1fl1.tiff
BR00117022,G11,URL_OrigDNA,r07c11f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c11f01p01-ch5sk1fk1fl1.tiff
BR00117022,G12,URL_OrigDNA,r07c12f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c12f01p01-ch5sk1fk1fl1.tiff
BR00117022,G13,URL_OrigDNA,r07c13f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c13f01p01-ch5sk1fk1fl1.tiff
BR00117022,G14,URL_OrigDNA,r07c14f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c14f01p01-ch5sk1fk1fl1.tiff
BR00117022,G15,URL_OrigDNA,r07c15f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c15f01p01-ch5sk1fk1fl1.tiff
BR00117022,G16,URL_OrigDNA,r07c16f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c16f01p01-ch5sk1fk1fl1.tiff
BR00117022,G17,URL_OrigDNA,r07c17f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c17f01p01-ch5sk1fk1fl1.tiff
BR00117022,G18,URL_OrigDNA,r07c18f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c18f01p01-ch5sk1fk1fl1.tiff
BR00117022,G19,URL_OrigDNA,r07c19f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c19f01p01-ch5sk1fk1fl1.tiff
BR00117022,G20,URL_OrigDNA,r07c20f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c20f01p01-ch5sk1fk1fl1.tiff
BR00117022,G21,URL_OrigDNA,r07c21f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c21f01p01-ch5sk1fk1fl1.tiff
BR00117022,G22,URL_OrigDNA,r07c22f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c22f01p01-ch5sk1fk1fl1.tiff
BR00117022,G23,URL_OrigDNA,r07c23f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c23f01p01-ch5sk1fk1fl1.tiff
BR00117022,G24,URL_OrigDNA,r07c24f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r07c24f01p01-ch5sk1fk1fl1.tiff
BR00117022,H01,URL_OrigDNA,r08c01f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c01f01p01-ch5sk1fk1fl1.tiff
BR00117022,H02,URL_OrigDNA,r08c02f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c02f01p01-ch5sk1fk1fl1.tiff
BR00117022,H03,URL_OrigDNA,r08c03f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c03f01p01-ch5sk1fk1fl1.tiff
BR00117022,H04,URL_OrigDNA,r08c04f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c04f01p01-ch5sk1fk1fl1.tiff
BR00117022,H05,URL_OrigDNA,r08c05f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c05f01p01-ch5sk1fk1fl1.tiff
BR00117022,H06,URL_OrigDNA,r08c06f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c06f01p01-ch5sk1fk1fl1.tiff
